Ширина листа:555
Высота листа:777

Координаты фигур:

289.43,46.68;289.43,13.34;314.44,5.00;339.44,13.34;339.44,46.68;314.44,38.34;314.44,55.01;
339.48,46.73;339.48,80.07;314.47,88.41;289.46,80.07;289.46,46.73;314.47,55.06;314.47,38.39;
289.43,129.79;289.43,96.45;314.44,88.11;339.44,96.45;339.44,129.79;314.44,121.46;314.44,138.13;
339.48,129.84;339.48,163.18;314.47,171.52;289.46,163.18;289.46,129.84;314.47,138.17;314.47,121.50;
289.43,212.90;289.43,179.56;314.44,171.22;339.44,179.56;339.44,212.90;314.44,204.57;314.44,221.24;
339.48,212.95;339.48,246.29;314.47,254.63;289.46,246.29;289.46,212.95;314.47,221.29;314.47,204.61;
289.43,296.01;289.43,262.67;314.44,254.34;339.44,262.67;339.44,296.01;314.44,287.68;314.44,304.35;
339.48,296.06;339.48,329.41;314.47,337.74;289.46,329.41;289.46,296.06;314.47,304.40;314.47,287.73;
289.43,379.13;289.43,345.78;314.44,337.45;339.44,345.78;339.44,379.13;314.44,370.79;314.44,387.46;
339.48,379.17;339.48,412.52;314.47,420.85;289.46,412.52;289.46,379.17;314.47,387.51;314.47,370.84;
339.53,46.68;339.53,13.34;364.54,5.00;389.55,13.34;389.55,46.68;364.54,38.34;364.54,55.01;
389.58,46.73;389.58,80.07;364.57,88.41;339.57,80.07;339.57,46.73;364.57,55.06;364.57,38.39;
339.53,129.79;339.53,96.45;364.54,88.11;389.55,96.45;389.55,129.79;364.54,121.46;364.54,138.13;
389.58,129.84;389.58,163.18;364.57,171.52;339.57,163.18;339.57,129.84;364.57,138.17;364.57,121.50;
339.53,212.90;339.53,179.56;364.54,171.22;389.55,179.56;389.55,212.90;364.54,204.57;364.54,221.24;
389.58,212.95;389.58,246.29;364.57,254.63;339.57,246.29;339.57,212.95;364.57,221.29;364.57,204.61;
339.53,296.01;339.53,262.67;364.54,254.34;389.55,262.67;389.55,296.01;364.54,287.68;364.54,304.35;
389.58,296.06;389.58,329.41;364.57,337.74;339.57,329.41;339.57,296.06;364.57,304.40;364.57,287.73;
339.53,379.13;339.53,345.78;364.54,337.45;389.55,345.78;389.55,379.13;364.54,370.79;364.54,387.46;
389.58,379.17;389.58,412.52;364.57,420.85;339.57,412.52;339.57,379.17;364.57,387.51;364.57,370.84;
389.63,46.68;389.63,13.34;414.64,5.00;439.65,13.34;439.65,46.68;414.64,38.34;414.64,55.01;
439.68,46.73;439.68,80.07;414.68,88.41;389.67,80.07;389.67,46.73;414.68,55.06;414.68,38.39;
389.63,129.79;389.63,96.45;414.64,88.11;439.65,96.45;439.65,129.79;414.64,121.46;414.64,138.13;
439.68,129.84;439.68,163.18;414.68,171.52;389.67,163.18;389.67,129.84;414.68,138.17;414.68,121.50;
389.63,212.90;389.63,179.56;414.64,171.22;439.65,179.56;439.65,212.90;414.64,204.57;414.64,221.24;
439.68,212.95;439.68,246.29;414.68,254.63;389.67,246.29;389.67,212.95;414.68,221.29;414.68,204.61;
389.63,296.01;389.63,262.67;414.64,254.34;439.65,262.67;439.65,296.01;414.64,287.68;414.64,304.35;
439.68,296.06;439.68,329.41;414.68,337.74;389.67,329.41;389.67,296.06;414.68,304.40;414.68,287.73;
389.63,379.13;389.63,345.78;414.64,337.45;439.65,345.78;439.65,379.13;414.64,370.79;414.64,387.46;
439.68,379.17;439.68,412.52;414.68,420.85;389.67,412.52;389.67,379.17;414.68,387.51;414.68,370.84;
481.46,5.00;514.81,5.00;523.14,30.01;514.81,55.01;481.46,55.01;489.80,30.01;473.13,30.01;
481.42,55.05;448.07,55.05;439.74,30.04;448.07,5.03;481.42,5.03;473.08,30.04;489.75,30.04;
481.46,55.10;514.81,55.10;523.14,80.11;514.81,105.12;481.46,105.12;489.80,80.11;473.13,80.11;
481.42,105.15;448.07,105.15;439.74,80.15;448.07,55.14;481.42,55.14;473.08,80.15;489.75,80.15;
481.46,105.21;514.81,105.21;523.14,130.21;514.81,155.22;481.46,155.22;489.80,130.21;473.13,130.21;
481.42,155.26;448.07,155.26;439.74,130.25;448.07,105.24;481.42,105.24;473.08,130.25;489.75,130.25;
481.46,155.31;514.81,155.31;523.14,180.32;514.81,205.32;481.46,205.32;489.80,180.32;473.13,180.32;
481.42,205.36;448.07,205.36;439.74,180.35;448.07,155.34;481.42,155.34;473.08,180.35;489.75,180.35;
481.46,205.41;514.81,205.41;523.14,230.42;514.81,255.43;481.46,255.43;489.80,230.42;473.13,230.42;
